StockName,MSE,MAE,MAPE
BHP_Group_Limited,0.007428797,0.065151873,8.676494785
Google,0.06349007,0.221060225,42.78439105
HSBC_Holdings_plc,0.024623572,0.116592871,33.66247525
L'Oreal_S.A.,0.023841984,0.127399522,18.95610756
META,0.08270917,0.237704717,73.72873996
Nestle_S.A.,0.155590052,0.383121767,62.68889686
Novartis_AG,0.041406886,0.1554015,30.05032436
Siemens_AG,0.057793996,0.207722673,36.81142181
Tencent_Holdings_Limited,0.007391437,0.071734793,26.55509641
Toyota_Motor_Corporation,0.056347558,0.177335229,34.93789067
advanced_micro_devices_data,0.067437421,0.198690573,31.86054968
amazon_stock_data,0.200392644,0.416211322,75.81114216
apple_stock_data,0.090661677,0.28389166,36.33176913
coca_cola_stock_data,0.157313935,0.386471017,50.23422677
east_africa_metals_data,0.011475819,0.076453198,30.90793019
intel_data,0.054597322,0.206586101,Inf
johnson_and_johnson_stock_data,0.2105216,0.448835092,63.04526237
microsoft_stock_data,0.032728468,0.148910275,20.39765393
proctor_and_gamble_stock_data,0.831018,0.906009705,111.8519979
samsung_electronics_data,0.021039243,0.115342887,15.93045377
