StockName,MSE,MAE,MAPE
BHP_Group_Limited,0.00742879741505742,0.0651518726114911,8.67649478534428
Google,0.0634900699516998,0.221060225300668,42.7843910507758
HSBC_Holdings_plc,0.0246235721934249,0.116592870981598,33.6624752538555
L'Oreal_S.A.,0.0238419843164505,0.127399521736746,18.956107563601
META,0.082709169711545,0.237704716552668,73.7287399575909
Nestle_S.A.,0.155590051955417,0.383121766639891,62.6888968559751
Novartis_AG,0.0414080975823149,0.155403176564174,30.0507662722005
Siemens_AG,0.0577939957164087,0.207722673144876,36.8114218143084
Tencent_Holdings_Limited,0.00739143707447676,0.0717347932648467,26.555096409913
Toyota_Motor_Corporation,0.0563475581140895,0.177335228863728,34.937890673851
advanced_micro_devices_data,0.0674374207003983,0.198690573141414,31.8605496818164
amazon_stock_data,0.200392643812643,0.416211322149023,75.8111421552206
apple_stock_data,0.0906616771436448,0.283891660296886,36.3317691336917
coca_cola_stock_data,0.157312269619969,0.386468867600928,50.2339548333394
east_africa_metals_data,0.0114758190876488,0.0764531984030801,30.9079301899773
intel_data,0.0545973220820321,0.206586101094723,Inf
johnson_and_johnson_stock_data,0.210521600380498,0.448835092046035,63.0452623696669
microsoft_stock_data,0.0327284679550108,0.148910274520688,20.3976539271632
proctor_and_gamble_stock_data,0.831018000330453,0.90600970482412,111.851997881923
samsung_electronics_data,0.0210392429410325,0.115342887117989,15.930453773607
